name,type,value,date
Lendl,1,2913,1990-01-01
Becker,2,2279,1990-01-01
Edberg,3,2111,1990-01-01
Gilbert,4,1398,1990-01-01
Mcenroe,5,1354,1990-01-01
Chang,6,1328,1990-01-01
Krickstein,7,1217,1990-01-01
Agassi,8,1160,1990-01-01
Berger,9,1039,1990-01-01
Mancini,10,1024,1990-01-01
Lendl,1,2913,1990-01-08
Becker,2,2279,1990-01-08
Edberg,3,2111,1990-01-08
Gilbert,4,1398,1990-01-08
Mcenroe,5,1354,1990-01-08
Chang,6,1328,1990-01-08
Krickstein,7,1217,1990-01-08
Agassi,8,1160,1990-01-08
Berger,9,1039,1990-01-08
Mancini,10,1024,1990-01-08
Lendl,1,2913,1990-01-15
Becker,2,2320,1990-01-15
Edberg,3,2111,1990-01-15
Gilbert,4,1398,1990-01-15
Mcenroe,5,1354,1990-01-15
Chang,6,1328,1990-01-15
Krickstein,7,1227,1990-01-15
Agassi,8,1160,1990-01-15
Berger,9,1039,1990-01-15
Mancini,10,1024,1990-01-15
Lendl,1,3030,1990-01-29
Becker,2,2410,1990-01-29
Edberg,3,2357,1990-01-29
Gilbert,4,1398,1990-01-29
Chang,5,1328,1990-01-29
Mcenroe,6,1321,1990-01-29
Krickstein,7,1221,1990-01-29
Agassi,8,1160,1990-01-29
Noah,9,1079,1990-01-29
Wilander,10,1075,1990-01-29
Lendl,1,3141,1990-02-12
Becker,2,2410,1990-02-12
Edberg,3,2357,1990-02-12
Mcenroe,4,1412,1990-02-12
Gilbert,5,1398,1990-02-12
Chang,6,1328,1990-02-12
Agassi,7,1301,1990-02-12
Krickstein,8,1246,1990-02-12
Wilander,9,1075,1990-02-12
Berger,10,1048,1990-02-12
Lendl,1,3338,1990-02-19
Becker,2,2435,1990-02-19
Edberg,3,2357,1990-02-19
Mcenroe,4,1506,1990-02-19
Gilbert,5,1382,1990-02-19
Agassi,6,1284,1990-02-19
Krickstein,7,1281,1990-02-19
Mayotte,8,1274,1990-02-19
Chang,9,1258,1990-02-19
Berger,10,1105,1990-02-19
Lendl,1,3420,1990-02-26
Becker,2,2594,1990-02-26
Edberg,3,2357,1990-02-26
Gilbert,4,1371,1990-02-26
Mcenroe,5,1359,1990-02-26
Krickstein,6,1281,1990-02-26
Chang,7,1237,1990-02-26
Agassi,8,1225,1990-02-26
Mayotte,9,1164,1990-02-26
Berger,10,1160,1990-02-26
Lendl,1,3420,1990-03-05
Becker,2,2594,1990-03-05
Edberg,3,2357,1990-03-05
Gilbert,4,1510,1990-03-05
Mcenroe,5,1359,1990-03-05
Krickstein,6,1281,1990-03-05
Chang,7,1237,1990-03-05
Agassi,8,1225,1990-03-05
Mayotte,9,1164,1990-03-05
Berger,10,1160,1990-03-05
Lendl,1,3377,1990-03-12
Becker,2,2781,1990-03-12
Edberg,3,2546,1990-03-12
